medicine_name,generic_name,manufacturer,strength,type,mrp
A-Zyme,Pancreatin,ACME Laboratories Ltd.,325 mg,Tablet,3.51
AB Kit,Mifepristone + Misoprostol,Renata PLC,200 mg+200 mcg,Tablet,300.00
AB-DS,Albendazole,Prime Pharmaceuticals Ltd.,400 mg,Chewable Tablet,3.00
Abac,Cephradine,Chemist Laboratories Ltd.,500 mg,Capsule,12.50
Abac,Cephradine,Chemist Laboratories Ltd.,125 mg/5 ml,Powder for Suspension,95.00
Abac,Cephradine,Chemist Laboratories Ltd.,125 mg/1.25 ml,Pediatric Drops,65.00
Abaclor,Cefaclor Monohydrate,ACI Limited,500 mg,Capsule,40.27
Abaclor,Cefaclor Monohydrate,ACI Limited,125 mg/5 ml,Powder for Suspension,280.00
Abaclor,Cefaclor Monohydrate,ACI Limited,125 mg/1.25 ml,Pediatric Drops,135.00
Abaclor,Cefaclor Monohydrate,ACI Limited,250 mg,Capsule,21.14
Abacten,Azithromycin Dihydrate,Arges Life Science Limited,500 mg,Tablet,35.00
Abacten,Azithromycin Dihydrate,Arges Life Science Limited,200 mg/5 ml,Powder for Suspension,130.00
Abasaglar,Insulin Glargine,Healthcare Pharmaceuticals Ltd.,100 IU/ml,SC Injection,895.00
ABC,Beta carotene + Vitamin C + Vitamin E,Union Pharmaceuticals Ltd,6 mg+200 mg+50 mg,Tablet,2.50
Abdolax,Sodium Picosulfate,Incepta Pharmaceuticals Ltd.,10 mg,Tablet,10.00
Abdolax,Sodium Picosulfate,Incepta Pharmaceuticals Ltd.,5 mg/5 ml,Oral Solution,150.00
Abdolax Max,Sodium Picosulfate,Incepta Pharmaceuticals Ltd.,7.5 mg/ml,Oral Solution,175.00
Abdorin,Dicycloverine Hydrochloride,Opsonin Pharma Ltd.,10 mg,Tablet,2.01
Abdorin,Dicycloverine Hydrochloride,Opsonin Pharma Ltd.,10 mg/5 ml,Syrup,30.11
Abecab,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,5 mg+20 mg,Tablet,12.00
Abecab,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,5 mg+40 mg,Tablet,20.00
Abecab,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,10 mg+20 mg,Tablet,15.00
Abecab,Amlodipine Besilate + Olmesartan Medoxomil,ACI Limited,10 mg+40 mg,Tablet,22.00
Abeclib,Abemaciclib,Eskayef Pharmaceuticals Ltd.,200 mg,Tablet,1150.00
Abeclib,Abemaciclib,Eskayef Pharmaceuticals Ltd.,150 mg,Tablet,950.00
Aben-DS,Albendazole,Team Pharmaceuticals Ltd.,400 mg,Chewable Tablet,4.50
Abetis,Olmesartan Medoxomil,ACI Limited,10 mg,Tablet,7.00
Abetis,Olmesartan Medoxomil,ACI Limited,20 mg,Tablet,11.00
Abetis,Olmesartan Medoxomil,ACI Limited,40 mg,Tablet,18.00
Abetis Plus,Olmesartan Medoxomil + Hydrochlorothiazide,ACI Limited,20 mg+12.5 mg,Tablet,11.00
